PulseResult

Table 1
Table No [#]	Vc+ [V]	Vc- [V]	Px [uC/cm2]	Pr+ [uC/cm2]	Pr- [uC/cm2]	Prrel+ [uC/cm2]	Prrel- [uC/cm2]	Psw [uC/cm2]	Pnsw [uC/cm2]	dPsw [uC/cm2]	Wloss [uJ/cm2]	Rav [Ohm]	Measurement Status []	Vmax+ [V]	Vmax- [V]	Pvmax+ [uC/cm2]	Pvmax- [uC/cm2]	Ipk+ [A]	Ipk- [A]	Write Pulse Time [s]	Write Pulse Rise Time [s]	Write Pulse Amplitude [V]	Pund Frequency [Hz]	Pund Amplitude [V]	Write Pulse Delay [s]	Pulse Points []	Read Pulse Delay [s]	Number of pulses []	Current Range []	
1.000000e+000	9.596670e-001	-1.966030e+000	-8.251400e+001	9.667890e+001	-8.616620e+001	9.245780e+001	-7.389290e+001	2.558050e+002	8.945420e+001	1.663510e+002	5.854210e+002	3.565640e+005	0.000000e+000	2.999870e+000	-2.956390e+000	1.819120e+002	-1.819120e+002	2.195910e-004	-2.077160e-004	1.000000e-003	1.000000e-003	3.000000e+000	2.500000e+003	3.000000e+000	1.990000e-001	4.010000e+002	1.000000e-003	5.000000e+000	5.000000e+000	

Pulse
Program: aixPlorer Software version 3.0.64.0
TimeStamp: 06/09/2025 18:39:37
TfaModule: PM
ProgramMode: 0
TfaFileType: data
BasicUnit: BU1012-1
TfaVersion: 4.4.0

Table 1
Timestamp: 06/09/2025 18:39:37
TableVersion: 4.4.0
Number of pulses: 5
Pulse Sequence: 0XUNDP-
Pulse Points: 401
Monitoring: YES
SampleName: 123
Area [mm2]: 0.0025
Thickness [nm]: 9
Number Of Ceramic Layers: 1
Current Range: 5 (1mA)
Voltage Monitor Range: passive monitor
Pund Frequency [Hz]: 2500
Pund Amplitude [V]: 3
Write Pulse Time [s]: 0.001
Write Pulse Rise Time [s]: 0.001
Write Pulse Amplitude [V]: 3
Waveform: 0
Read Pulse Delay [s]: 0.001
Write Pulse Delay [s]: 0.199
Settings: OM MON
Pvmax+ [uC/cm2]: 181.912
Pvmax- [uC/cm2]: -181.912
Pr+ [uC/cm2]: 96.6789
Pr- [uC/cm2]: -86.1662
Prrel+ [uC/cm2]: 92.4578
Prrel- [uC/cm2]: -73.8929
Px [uC/cm2]: -82.514
Pnsw [uC/cm2]: 89.4542
Psw [uC/cm2]: 255.805
dPsw [uC/cm2]: 166.351
Vc+ [V]: 0.959667
Vc- [V]: -1.96603
Rav [Ohm]: 356564
Wloss [uJ/cm2]: 585.421
Vmax+ [V]: 2.99987
Vmax- [V]: -2.95639
Ipk+ [A]: 0.000219591
Ipk- [A]: -0.000207716
Basic System: TFAnalyzer 3000
Measure Head: FE 929-2HSIN
MeasureHal Profile: default
Program Version: 3.0.64.0
Operator: Unknown
HV Amplifier: FE-Head (Monitored)
Measurement Topology: electrical 3, strain 3
Measurement Status: 0
Time [s]	V [V]	I [A]	P [uC/cm2]	Time [s]	V [V]	I [A]	P [uC/cm2]	Time [s]	V [V]	I [A]	P [uC/cm2]	Time [s]	V [V]	I [A]	P [uC/cm2]	Time [s]	V [V]	I [A]	P [uC/cm2]	
4.788070e-005	1.456325e+000	9.581023e-005	1.045209e+002	1.247881e-003	1.435083e+000	2.252850e-005	1.313085e+002	2.447881e-003	-1.391692e+000	-3.562486e-005	4.708268e+001	3.647881e-003	-1.391730e+000	-2.622266e-005	-1.164275e+002	4.847881e-003	1.436862e+000	6.922417e-005	1.086414e+002	
4.862883e-005	1.479402e+000	8.822719e-005	1.072746e+002	1.248629e-003	1.457543e+000	2.136290e-005	1.319652e+002	2.448629e-003	-1.413904e+000	-3.622551e-005	4.600760e+001	3.648629e-003	-1.413853e+000	-2.708110e-005	-1.172250e+002	4.848629e-003	1.459150e+000	6.169079e-005	1.106003e+002	
4.937697e-005	1.502666e+000	8.209955e-005	1.098231e+002	1.249377e-003	1.479242e+000	2.004310e-005	1.325848e+002	2.449377e-003	-1.436013e+000	-3.847565e-005	4.488987e+001	3.649377e-003	-1.436055e+000	-2.866062e-005	-1.180591e+002	4.849377e-003	1.481679e+000	6.209550e-005	1.124525e+002	
5.012511e-005	1.524504e+000	7.915399e-005	1.122359e+002	1.250125e-003	1.501948e+000	2.063327e-005	1.331934e+002	2.450125e-003	-1.456992e+000	-4.144457e-005	4.369404e+001	3.650125e-003	-1.459422e+000	-2.636794e-005	-1.188825e+002	4.850125e-003	1.503284e+000	5.793707e-005	1.142485e+002	
5.087324e-005	1.547404e+000	7.333205e-005	1.145175e+002	1.250873e-003	1.521743e+000	1.957091e-005	1.337950e+002	2.450873e-003	-1.481518e+000	-4.255285e-005	4.243721e+001	3.650873e-003	-1.480101e+000	-2.959277e-005	-1.197198e+002	4.850873e-003	1.524507e+000	6.112377e-005	1.160299e+002	
5.162138e-005	1.567170e+000	6.826345e-005	1.166362e+002	1.251621e-003	1.544842e+000	2.249493e-005	1.344244e+002	2.451621e-003	-1.504971e+000	-5.179547e-005	4.102551e+001	3.651621e-003	-1.503256e+000	-2.634667e-005	-1.205568e+002	4.851621e-003	1.548341e+000	6.206480e-005	1.178732e+002	
5.236951e-005	1.591307e+000	6.481576e-005	1.186274e+002	1.252370e-003	1.569329e+000	2.363620e-005	1.351146e+002	2.452370e-003	-1.527295e+000	-4.139711e-005	3.963109e+001	3.652370e-003	-1.525554e+000	-2.773163e-005	-1.213659e+002	4.852370e-003	1.569806e+000	5.646649e-005	1.196467e+002	
5.311765e-005	1.612126e+000	6.324129e-005	1.205435e+002	1.253118e-003	1.589213e+000	2.330240e-005	1.358170e+002	2.453118e-003	-1.548210e+000	-5.171140e-005	3.823794e+001	3.653118e-003	-1.548342e+000	-2.939034e-005	-1.222206e+002	4.853118e-003	1.592891e+000	6.339436e-005	1.214402e+002	
5.386579e-005	1.635198e+000	6.287044e-005	1.224305e+002	1.253866e-003	1.611382e+000	2.828522e-005	1.365889e+002	2.453866e-003	-1.571986e+000	-4.829122e-005	3.674162e+001	3.653866e-003	-1.570542e+000	-2.974048e-005	-1.231054e+002	4.853866e-003	1.614635e+000	6.001632e-005	1.232867e+002	
5.461392e-005	1.657511e+000	6.091474e-005	1.242826e+002	1.254614e-003	1.636198e+000	2.266646e-005	1.373512e+002	2.454614e-003	-1.594338e+000	-5.825044e-005	3.514747e+001	3.654614e-003	-1.593342e+000	-2.686816e-005	-1.239524e+002	4.854614e-003	1.637264e+000	5.868826e-005	1.250629e+002	
5.536206e-005	1.680990e+000	5.863070e-005	1.260714e+002	1.255362e-003	1.658654e+000	2.068074e-005	1.379998e+002	2.455362e-003	-1.617307e+000	-5.359237e-005	3.347400e+001	3.655362e-003	-1.615193e+000	-2.784050e-005	-1.247710e+002	4.855362e-003	1.658051e+000	5.675290e-005	1.267902e+002	
5.611019e-005	1.704733e+000	5.689287e-005	1.277999e+002	1.256110e-003	1.680249e+000	2.097519e-005	1.386231e+002	2.456110e-003	-1.639268e+000	-5.973315e-005	3.177834e+001	3.656110e-003	-1.638064e+000	-2.869648e-005	-1.256170e+002	4.856110e-003	1.682258e+000	5.285125e-005	1.284302e+002	
5.685833e-005	1.724428e+000	5.082234e-005	1.294116e+002	1.256858e-003	1.702320e+000	2.254545e-005	1.392743e+002	2.456858e-003	-1.660843e+000	-6.083565e-005	2.997430e+001	3.656858e-003	-1.660350e+000	-2.991286e-005	-1.264939e+002	4.856858e-003	1.704728e+000	5.035737e-005	1.299744e+002	
5.760647e-005	1.746374e+000	4.758764e-005	1.308841e+002	1.257606e-003	1.726189e+000	2.339308e-005	1.399617e+002	2.457606e-003	-1.683135e+000	-6.698836e-005	2.806171e+001	3.657606e-003	-1.682897e+000	-2.364868e-005	-1.272953e+002	4.857606e-003	1.726243e+000	4.581336e-005	1.314134e+002	
5.835460e-005	1.768217e+000	4.851154e-005	1.323220e+002	1.258355e-003	1.746655e+000	2.233761e-005	1.406459e+002	2.458355e-003	-1.706376e+000	-6.754979e-005	2.604865e+001	3.658355e-003	-1.706005e+000	-2.771207e-005	-1.280638e+002	4.858355e-003	1.748855e+000	4.414217e-005	1.327594e+002	
5.910274e-005	1.791359e+000	4.433118e-005	1.337112e+002	1.259103e-003	1.769130e+000	2.544841e-005	1.413609e+002	2.459103e-003	-1.727706e+000	-6.614034e-005	2.404829e+001	3.659103e-003	-1.727626e+000	-2.569696e-005	-1.288630e+002	4.859103e-003	1.770680e+000	4.025527e-005	1.340222e+002	
5.985087e-005	1.815502e+000	4.346881e-005	1.350249e+002	1.259851e-003	1.793946e+000	2.473073e-005	1.421118e+002	2.459851e-003	-1.749703e+000	-7.193768e-005	2.198226e+001	3.659851e-003	-1.750019e+000	-2.707271e-005	-1.296526e+002	4.859851e-003	1.792817e+000	4.398524e-005	1.352827e+002	
6.059901e-005	1.836922e+000	3.811989e-005	1.362457e+002	1.260599e-003	1.815196e+000	2.257789e-005	1.428196e+002	2.460599e-003	-1.771191e+000	-6.737236e-005	1.989781e+001	3.660599e-003	-1.772570e+000	-2.834869e-005	-1.304818e+002	4.860599e-003	1.815857e+000	3.997661e-005	1.365390e+002	
6.134714e-005	1.859744e+000	3.670491e-005	1.373653e+002	1.261347e-003	1.837126e+000	2.260459e-005	1.434957e+002	2.461347e-003	-1.793588e+000	-7.409352e-005	1.778109e+001	3.661347e-003	-1.793667e+000	-2.963104e-005	-1.313493e+002	4.861347e-003	1.837919e+000	3.729507e-005	1.376952e+002	
6.209528e-005	1.881991e+000	3.621517e-005	1.384564e+002	1.262095e-003	1.859075e+000	2.323256e-005	1.441815e+002	2.462095e-003	-1.815252e+000	-7.244740e-005	1.558844e+001	3.662095e-003	-1.816536e+000	-3.141594e-005	-1.322628e+002	4.862095e-003	1.861449e+000	3.629100e-005	1.387962e+002	
6.284342e-005	1.904398e+000	3.494196e-005	1.395211e+002	1.262843e-003	1.881228e+000	2.331169e-005	1.448780e+002	2.462843e-003	-1.839776e+000	-7.331825e-005	1.340739e+001	3.662843e-003	-1.837563e+000	-2.982874e-005	-1.331792e+002	4.862843e-003	1.882497e+000	3.516464e-005	1.398654e+002	
6.359155e-005	1.925745e+000	3.437430e-005	1.405582e+002	1.263592e-003	1.904288e+000	2.146455e-005	1.455479e+002	2.463592e-003	-1.862343e+000	-7.678551e-005	1.116143e+001	3.663592e-003	-1.860866e+000	-3.104988e-005	-1.340901e+002	4.863592e-003	1.905772e+000	3.268111e-005	1.408805e+002	
6.433969e-005	1.948951e+000	3.735293e-005	1.416315e+002	1.264340e-003	1.927595e+000	2.340561e-005	1.462193e+002	2.464340e-003	-1.883407e+000	-7.486791e-005	8.892284e+000	3.664340e-003	-1.884635e+000	-2.532813e-005	-1.349336e+002	4.864340e-003	1.928343e+000	3.323587e-005	1.418668e+002	
6.508782e-005	1.970783e+000	3.002055e-005	1.426396e+002	1.265088e-003	1.948597e+000	2.436770e-005	1.469341e+002	2.465088e-003	-1.906367e+000	-7.841850e-005	6.598703e+000	3.665088e-003	-1.906811e+000	-3.037531e-005	-1.357671e+002	4.865088e-003	1.950898e+000	3.053958e-005	1.428211e+002	
6.583596e-005	1.993781e+000	3.367100e-005	1.435926e+002	1.265836e-003	1.970769e+000	2.223710e-005	1.476315e+002	2.465836e-003	-1.928848e+000	-8.452216e-005	4.160667e+000	3.665836e-003	-1.928801e+000	-2.937861e-005	-1.366612e+002	4.865836e-003	1.972658e+000	3.242821e-005	1.437633e+002	
6.658410e-005	2.014674e+000	3.203104e-005	1.445756e+002	1.266584e-003	1.992314e+000	2.384085e-005	1.483209e+002	2.466584e-003	-1.952011e+000	-8.244838e-005	1.662334e+000	3.666584e-003	-1.950674e+000	-3.020748e-005	-1.375528e+002	4.866584e-003	1.995441e+000	3.038824e-005	1.447032e+002	
6.733223e-005	2.038833e+000	3.078783e-005	1.455156e+002	1.267332e-003	2.015447e+000	2.351391e-005	1.490295e+002	2.467332e-003	-1.973387e+000	-8.696998e-005	-8.726249e-001	3.667332e-003	-1.974150e+000	-3.091013e-005	-1.384673e+002	4.867332e-003	2.018268e+000	3.172412e-005	1.456325e+002	
6.808037e-005	2.061848e+000	3.048935e-005	1.464324e+002	1.268080e-003	2.037042e+000	2.570435e-005	1.497659e+002	2.468080e-003	-1.996489e+000	-8.726561e-005	-3.479663e+000	3.668080e-003	-1.995390e+000	-3.105007e-005	-1.393943e+002	4.868080e-003	2.040687e+000	3.100975e-005	1.465712e+002	
6.882850e-005	2.082494e+000	3.629395e-005	1.474317e+002	1.268829e-003	2.060825e+000	1.969066e-005	1.504451e+002	2.468829e-003	-2.018929e+000	-9.269963e-005	-6.172432e+000	3.668829e-003	-2.018195e+000	-3.333770e-005	-1.403578e+002	4.868829e-003	2.064430e+000	3.030677e-005	1.474887e+002	
6.957664e-005	2.105465e+000	3.382741e-005	1.484809e+002	1.269577e-003	2.083375e+000	2.154465e-005	1.510621e+002	2.469577e-003	-2.040421e+000	-9.233150e-005	-8.941001e+000	3.669577e-003	-2.039366e+000	-3.387597e-005	-1.413635e+002	4.869577e-003	2.084294e+000	3.102750e-005	1.484064e+002	
7.032478e-005	2.126674e+000	2.957535e-005	1.494296e+002	1.270325e-003	2.105618e+000	2.176311e-005	1.517101e+002	2.470325e-003	-2.062164e+000	-9.731129e-005	-1.177857e+001	3.670325e-003	-2.064105e+000	-3.293140e-005	-1.423631e+002	4.870325e-003	2.108303e+000	3.026471e-005	1.493235e+002	
7.107291e-005	2.151269e+000	2.944856e-005	1.503127e+002	1.271073e-003	2.127644e+000	2.457987e-005	1.524035e+002	2.471073e-003	-2.086641e+000	-1.020826e-004	-1.476205e+001	3.671073e-003	-2.085585e+000	-3.376285e-005	-1.433610e+002	4.871073e-003	2.131433e+000	3.004302e-005	1.502259e+002	
7.182105e-005	2.172571e+000	2.886256e-005	1.511852e+002	1.271821e-003	2.149909e+000	2.171170e-005	1.530962e+002	2.471821e-003	-2.109290e+000	-1.058224e-004	-1.787287e+001	3.671821e-003	-2.107764e+000	-3.649025e-005	-1.444122e+002	4.871821e-003	2.152712e+000	3.229019e-005	1.511585e+002	
7.256918e-005	2.194558e+000	3.070283e-005	1.520765e+002	1.272569e-003	2.171798e+000	2.904320e-005	1.538556e+002	2.472569e-003	-2.130496e+000	-1.093335e-004	-2.109219e+001	3.672569e-003	-2.128959e+000	-3.407548e-005	-1.454680e+002	4.872569e-003	2.175546e+000	2.749754e-005	1.520531e+002	
7.331732e-005	2.216976e+000	3.112982e-005	1.530017e+002	1.273317e-003	2.194664e+000	2.443511e-005	1.546558e+002	2.473317e-003	-2.152990e+000	-1.171241e-004	-2.448061e+001	3.673317e-003	-2.151078e+000	-3.429668e-005	-1.464911e+002	4.873317e-003	2.195682e+000	3.214848e-005	1.529456e+002	
7.406546e-005	2.238609e+000	2.991590e-005	1.539151e+002	1.274065e-003	2.215727e+000	2.515201e-005	1.553978e+002	2.474065e-003	-2.177008e+000	-1.133182e-004	-2.792865e+001	3.674065e-003	-2.175084e+000	-3.408671e-005	-1.475143e+002	4.874065e-003	2.218441e+000	2.952873e-005	1.538685e+002	
7.481359e-005	2.261351e+000	2.965007e-005	1.548064e+002	1.274814e-003	2.240063e+000	2.480954e-005	1.561453e+002	2.474814e-003	-2.197401e+000	-1.212654e-004	-3.143866e+001	3.674814e-003	-2.196745e+000	-3.468464e-005	-1.485433e+002	4.874814e-003	2.240560e+000	2.630448e-005	1.547039e+002	
7.556173e-005	2.283945e+000	2.858612e-005	1.556777e+002	1.275562e-003	2.261940e+000	2.317503e-005	1.568633e+002	2.475562e-003	-2.219982e+000	-1.299978e-004	-3.519824e+001	3.675562e-003	-2.220051e+000	-2.951007e-005	-1.495038e+002	4.875562e-003	2.264791e+000	2.885316e-005	1.555292e+002	
7.630986e-005	2.306396e+000	2.709983e-005	1.565110e+002	1.276310e-003	2.283994e+000	2.422177e-005	1.575725e+002	2.476310e-003	-2.241847e+000	-1.363813e-004	-3.918400e+001	3.676310e-003	-2.240874e+000	-3.627306e-005	-1.504881e+002	4.876310e-003	2.285505e+000	2.661156e-005	1.563591e+002	
7.705800e-005	2.328591e+000	2.752796e-005	1.573283e+002	1.277058e-003	2.306514e+000	2.323337e-005	1.582825e+002	2.477058e-003	-2.264164e+000	-1.437973e-004	-4.337623e+001	3.677058e-003	-2.263036e+000	-3.265764e-005	-1.515195e+002	4.877058e-003	2.309729e+000	2.692165e-005	1.571601e+002	
7.780613e-005	2.350901e+000	2.775600e-005	1.581555e+002	1.277806e-003	2.328094e+000	2.346257e-005	1.589812e+002	2.477806e-003	-2.286803e+000	-1.505377e-004	-4.778029e+001	3.677806e-003	-2.285029e+000	-3.254567e-005	-1.524951e+002	4.877806e-003	2.331417e+000	2.549057e-005	1.579443e+002	
7.855427e-005	2.374226e+000	2.742049e-005	1.589811e+002	1.278554e-003	2.350790e+000	2.659602e-005	1.597303e+002	2.478554e-003	-2.307852e+000	-1.581993e-004	-5.239983e+001	3.678554e-003	-2.308174e+000	-3.247693e-005	-1.534680e+002	4.878554e-003	2.353216e+000	3.057838e-005	1.587833e+002	
7.930241e-005	2.393687e+000	2.578750e-005	1.597773e+002	1.279302e-003	2.374352e+000	2.330209e-005	1.604769e+002	2.479302e-003	-2.330944e+000	-1.651821e-004	-5.723850e+001	3.679302e-003	-2.328974e+000	-3.028100e-005	-1.544071e+002	4.879302e-003	2.375370e+000	3.023733e-005	1.596932e+002	
8.005054e-005	2.418221e+000	2.606397e-005	1.605531e+002	1.280051e-003	2.396863e+000	2.376423e-005	1.611811e+002	2.480051e-003	-2.352838e+000	-1.733720e-004	-6.230419e+001	3.680051e-003	-2.350217e+000	-3.387240e-005	-1.553670e+002	4.880051e-003	2.397385e+000	2.696001e-005	1.605491e+002	
8.079868e-005	2.440225e+000	2.707602e-005	1.613482e+002	1.280799e-003	2.417432e+000	2.336104e-005	1.618862e+002	2.480799e-003	-2.376453e+000	-1.810498e-004	-6.760730e+001	3.680799e-003	-2.374659e+000	-3.311334e-005	-1.563693e+002	4.880799e-003	2.419312e+000	2.991786e-005	1.614001e+002	
8.154681e-005	2.462510e+000	2.578017e-005	1.621391e+002	1.281547e-003	2.441048e+000	2.335702e-005	1.625853e+002	2.481547e-003	-2.398442e+000	-1.871201e-004	-7.311612e+001	3.681547e-003	-2.398134e+000	-3.625865e-005	-1.574073e+002	4.881547e-003	2.443105e+000	2.917558e-005	1.622843e+002	
8.229495e-005	2.484503e+000	2.596524e-005	1.629133e+002	1.282295e-003	2.462369e+000	2.753578e-005	1.633468e+002	2.482295e-003	-2.419277e+000	-1.926413e-004	-7.879838e+001	3.682295e-003	-2.419389e+000	-3.170902e-005	-1.584242e+002	4.882295e-003	2.464599e+000	2.199448e-005	1.630499e+002	
8.304309e-005	2.506950e+000	2.773208e-005	1.637168e+002	1.283043e-003	2.485380e+000	2.250635e-005	1.640955e+002	2.483043e-003	-2.442516e+000	-1.965100e-004	-8.462115e+001	3.683043e-003	-2.442882e+000	-3.585309e-005	-1.594351e+002	4.883043e-003	2.486967e+000	3.046441e-005	1.638349e+002	
8.379122e-005	2.528712e+000	2.614308e-005	1.645229e+002	1.283791e-003	2.507384e+000	2.388042e-005	1.647896e+002	2.483791e-003	-2.465288e+000	-2.002363e-004	-9.055755e+001	3.683791e-003	-2.464439e+000	-3.084054e-005	-1.604331e+002	4.883791e-003	2.509929e+000	2.438654e-005	1.646556e+002	
8.453936e-005	2.550733e+000	2.851429e-005	1.653407e+002	1.284539e-003	2.530790e+000	2.468821e-005	1.655163e+002	2.484539e-003	-2.485651e+000	-2.030840e-004	-9.659232e+001	3.684539e-003	-2.486267e+000	-3.093220e-005	-1.613574e+002	4.884539e-003	2.531183e+000	2.459743e-005	1.653885e+002	
8.528749e-005	2.572940e+000	2.674904e-005	1.661676e+002	1.285287e-003	2.554018e+000	2.384468e-005	1.662425e+002	2.485287e-003	-2.510668e+000	-2.077164e-004	-1.027390e+002	3.685287e-003	-2.508921e+000	-3.455991e-005	-1.623373e+002	4.885287e-003	2.555973e+000	2.655347e-005	1.661539e+002	
8.603563e-005	2.596051e+000	2.575615e-005	1.669532e+002	1.286036e-003	2.575096e+000	2.465775e-005	1.669682e+002	2.486036e-003	-2.532476e+000	-2.040807e-004	-1.089006e+002	3.686036e-003	-2.531556e+000	-3.000419e-005	-1.633033e+002	4.886036e-003	2.578096e+000	2.153511e-005	1.668734e+002	
8.678377e-005	2.618418e+000	2.533197e-005	1.677177e+002	1.286784e-003	2.595803e+000	2.235410e-005	1.676717e+002	2.486784e-003	-2.554054e+000	-2.020081e-004	-1.149768e+002	3.686784e-003	-2.554220e+000	-3.542894e-005	-1.642824e+002	4.886784e-003	2.598626e+000	2.709410e-005	1.676010e+002	
8.753190e-005	2.640607e+000	2.960984e-005	1.685397e+002	1.287532e-003	2.618465e+000	2.200321e-005	1.683354e+002	2.487532e-003	-2.575840e+000	-2.012925e-004	-1.210113e+002	3.687532e-003	-2.575867e+000	-3.546189e-005	-1.653431e+002	4.887532e-003	2.620440e+000	2.549914e-005	1.683880e+002	
8.828004e-005	2.664140e+000	3.007417e-005	1.694328e+002	1.288280e-003	2.641938e+000	2.391514e-005	1.690224e+002	2.488280e-003	-2.599196e+000	-1.929991e-004	-1.269109e+002	3.688280e-003	-2.597180e+000	-3.325915e-005	-1.663714e+002	4.888280e-003	2.643528e+000	2.618053e-005	1.691612e+002	
8.902817e-005	2.685746e+000	2.735219e-005	1.702920e+002	1.289028e-003	2.664389e+000	2.282632e-005	1.697218e+002	2.489028e-003	-2.621005e+000	-1.848057e-004	-1.325639e+002	3.689028e-003	-2.620004e+000	-3.653054e-005	-1.674156e+002	4.889028e-003	2.665049e+000	2.759388e-005	1.699659e+002	
8.977631e-005	2.709312e+000	2.671155e-005	1.711010e+002	1.289776e-003	2.685802e+000	2.374972e-005	1.704187e+002	2.489776e-003	-2.643778e+000	-1.819076e-004	-1.380510e+002	3.689776e-003	-2.643723e+000	-3.335082e-005	-1.684612e+002	4.889776e-003	2.688928e+000	2.549572e-005	1.707602e+002	
9.052445e-005	2.729550e+000	2.452499e-005	1.718676e+002	1.290524e-003	2.709088e+000	2.270763e-005	1.711138e+002	2.490524e-003	-2.666151e+000	-1.689234e-004	-1.433003e+002	3.690524e-003	-2.664846e+000	-3.530822e-005	-1.694886e+002	4.890524e-003	2.710816e+000	2.850997e-005	1.715683e+002	
9.127258e-005	2.752824e+000	2.582674e-005	1.726210e+002	1.291273e-003	2.731743e+000	2.464618e-005	1.718224e+002	2.491273e-003	-2.689164e+000	-1.583721e-004	-1.481976e+002	3.691273e-003	-2.688388e+000	-3.404731e-005	-1.705263e+002	4.891273e-003	2.732217e+000	2.650098e-005	1.723914e+002	
9.202072e-005	2.775499e+000	2.778089e-005	1.734231e+002	1.292021e-003	2.753095e+000	2.942309e-005	1.726314e+002	2.492021e-003	-2.712406e+000	-1.411126e-004	-1.526787e+002	3.692021e-003	-2.709150e+000	-3.069676e-005	-1.714951e+002	4.892021e-003	2.755037e+000	2.624054e-005	1.731806e+002	
9.276885e-005	2.798360e+000	2.535947e-005	1.742182e+002	1.292769e-003	2.776597e+000	2.773030e-005	1.734866e+002	2.492769e-003	-2.736924e+000	-1.305872e-004	-1.567440e+002	3.692769e-003	-2.731841e+000	-3.229559e-005	-1.724376e+002	4.892769e-003	2.777691e+000	2.846150e-005	1.739991e+002	
9.351699e-005	2.821243e+000	2.784510e-005	1.750143e+002	1.293517e-003	2.798317e+000	2.530222e-005	1.742801e+002	2.493517e-003	-2.756824e+000	-1.142513e-004	-1.604075e+002	3.693517e-003	-2.755163e+000	-2.804629e-005	-1.733405e+002	4.893517e-003	2.799557e+000	2.388109e-005	1.747822e+002	
9.426512e-005	2.844638e+000	2.634155e-005	1.758251e+002	1.294265e-003	2.820240e+000	2.198365e-005	1.749876e+002	2.494265e-003	-2.780085e+000	-1.046376e-004	-1.636827e+002	3.694265e-003	-2.776566e+000	-3.238157e-005	-1.742446e+002	4.894265e-003	2.821379e+000	2.588588e-005	1.755269e+002	
9.501326e-005	2.865660e+000	2.542457e-005	1.765997e+002	1.295013e-003	2.843249e+000	2.335376e-005	1.756660e+002	2.495013e-003	-2.801543e+000	-9.456018e-005	-1.666632e+002	3.695013e-003	-2.800079e+000	-2.974731e-005	-1.751743e+002	4.895013e-003	2.844435e+000	2.471058e-005	1.762840e+002	
9.576140e-005	2.889999e+000	2.569855e-005	1.773646e+002	1.295761e-003	2.865197e+000	2.279386e-005	1.763565e+002	2.495761e-003	-2.822517e+000	-8.723714e-005	-1.693834e+002	3.695761e-003	-2.821703e+000	-2.901711e-005	-1.760535e+002	4.895761e-003	2.867333e+000	2.560643e-005	1.770368e+002	
9.650953e-005	2.911664e+000	2.756941e-005	1.781617e+002	1.296510e-003	2.887426e+000	2.366343e-005	1.770516e+002	2.496510e-003	-2.845138e+000	-7.467009e-005	-1.718060e+002	3.696510e-003	-2.843245e+000	-3.096164e-005	-1.769510e+002	4.896510e-003	2.888992e+000	2.535268e-005	1.777993e+002	
9.725767e-005	2.933095e+000	2.760521e-005	1.789872e+002	1.297258e-003	2.909964e+000	2.431241e-005	1.777694e+002	2.497258e-003	-2.866824e+000	-6.874960e-005	-1.739519e+002	3.697258e-003	-2.866981e+000	-2.892158e-005	-1.778470e+002	4.897258e-003	2.911169e+000	2.975394e-005	1.786239e+002	
9.800580e-005	2.955536e+000	2.646251e-005	1.797962e+002	1.298006e-003	2.933475e+000	2.415921e-005	1.784947e+002	2.498006e-003	-2.889299e+000	-6.202743e-005	-1.759087e+002	3.698006e-003	-2.889995e+000	-2.922885e-005	-1.787171e+002	4.898006e-003	2.932864e+000	2.788445e-005	1.794863e+002	
9.875394e-005	2.977638e+000	2.638232e-005	1.805869e+002	1.298754e-003	2.953481e+000	2.543051e-005	1.792367e+002	2.498754e-003	-2.910152e+000	-5.389086e-005	-1.776431e+002	3.698754e-003	-2.911154e+000	-3.451374e-005	-1.796708e+002	4.898754e-003	2.955978e+000	2.665247e-005	1.803023e+002	
9.950208e-005	3.000589e+000	2.769285e-005	1.813960e+002	1.299502e-003	2.976552e+000	2.539408e-005	1.799972e+002	2.499502e-003	-2.933444e+000	-5.244489e-005	-1.792342e+002	3.699502e-003	-2.933895e+000	-3.133447e-005	-1.806561e+002	4.899502e-003	2.979065e+000	2.739850e-005	1.811111e+002	
1.002502e-004	3.004148e+000	7.485430e-006	1.819224e+002	1.300250e-003	2.997530e+000	2.343071e-005	1.807277e+002	2.500250e-003	-2.954873e+000	-5.132358e-005	-1.807869e+002	3.700250e-003	-2.955610e+000	-3.126842e-005	-1.815928e+002	4.900250e-003	2.999867e+000	2.611286e-005	1.819117e+002	
1.009983e-004	2.982105e+000	-1.032283e-005	1.818799e+002	1.300998e-003	3.001439e+000	6.224990e-006	1.811715e+002	2.500998e-003	-2.956389e+000	-2.385383e-005	-1.819117e+002	3.700998e-003	-2.956373e+000	-8.879092e-006	-1.821935e+002	4.900998e-003	2.999801e+000	1.439641e-006	1.823240e+002	
1.017465e-004	2.959516e+000	-1.613943e-005	1.814840e+002	1.301746e-003	2.979156e+000	-1.279427e-005	1.810732e+002	2.501746e-003	-2.934788e+000	-3.449132e-007	-1.822738e+002	3.701746e-003	-2.934686e+000	4.698914e-006	-1.822561e+002	4.901746e-003	2.978731e+000	-1.125274e-005	1.821772e+002	
1.024946e-004	2.937838e+000	-1.758089e-005	1.809794e+002	1.302495e-003	2.958569e+000	-1.631081e-005	1.806377e+002	2.502495e-003	-2.912296e+000	9.009510e-006	-1.821442e+002	3.702495e-003	-2.914017e+000	1.932279e-005	-1.818966e+002	4.902495e-003	2.956657e+000	-1.728798e-005	1.817501e+002	
